org_nm, org_PAC_ID, measure_cd, measure_title, prf_rate, patient_count, FN
"UNIVERSITY HEALTH SYSTEM,INC",5294646378,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",64,269,
SUMMIT MEDICAL GROUP PA,5395642276,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",64,196,
TRINITY WEST,5496648875,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",76,181,
ST VINCENT HOSPITAL-HOSPITAL SISTERS-THIRD ORDER OF ST FRANCIS,5799694675,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",65,233,
SWEDISHAMERICAN HOSPITAL,5799698346,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",55,240,
PLATTE VALLEY MEDICAL GROUP LLC,5890054100,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",64,123,
HOLZER CLINIC LLC,5890606008,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",74,211,
EISENHOWER MEDICAL CENTER,5890689657,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",56,214,
DUBOIS REGIONAL MEDICAL CENTER,5890689715,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",62,126,
RAPID CITY MEDICAL CENTER LLP,5890691075,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",68,288,
MARTIN'S POINT HEALTH CARE,5991776635,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",61,216,
GUTHRIE MEDICAL GROUP PC,6002728656,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",70,195,
SILICON VALLEY MEDICAL DEVELOPMENT LLC,6103115183,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",57,239,
LICKING MEMORIAL PROFESSIONAL CORPORATION,6204740731,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",62,203,
STRAUB CLINIC AND HOSPITAL,6305759754,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",71,239,
"NORTH COAST PROFESSIONAL COMPANY, LLC",6305810201,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",77,232,
"THE EVERETT CLINIC, PLLC",6406752153,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",62,187,
MONTAGE MEDICAL GROUP,6406901941,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",53,220,
HEARTLAND REGIONAL MEDICAL CENTER,6709772767,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",74,183,
STANFORD HEALTH CARE,6709797491,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",59,122,
STAMFORD HEALTH MEDICAL GROUP INC,6901099746,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",73,234,
"KINGMAN HEALTHCARE, INC",6901791367,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",,,1
SOUTHEASTERN REGIONAL PHYSICIAN SERVICES,7012058548,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",66,138,
OVERLAKE MEDICAL CLINICS LLC,7012808827,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",66,230,
GENESIS HEALTH SYSTEM,7214841436,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",72,298,
BEND MEMORIAL CLINIC PC,7214936533,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",57,247,
RMH MEDICAL GROUP LLC,7618270729,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",61,227,
MERCY HOSPITAL AND MEDICAL CENTER,7618861105,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",61,160,
LEXINGTON COUNTY HEALTH SERVICES DISTRICT INC,7618871799,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",73,223,
KING COUNTY PUBLIC HOSPITAL DISTRICT NO 2,7618880097,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",57,229,
SIGNATURE HEALTHCARE MEDICAL GROUP INC,7719876267,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",60,200,
PHYSICIANS REFERRAL SERVICE,7911801410,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",76,52,
TRINITY HEALTH,7911816020,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",58,242,
COMMUNITY CARE PHYSICIANS PC,8022904473,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",67,229,
"STERN CARDIOVASCULAR FOUNDATION, INC",8123200540,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",69,186,
LAKELAND REGIONAL HEALTH SYSTEMS INC,8325952914,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",62,216,
PHOEBE PHYSICIAN GROUP INC,8426112350,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",64,178,
CHESAPEAKE REGIONAL MEDICAL GROUP,8426113663,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",69,158,
MOUNT NITTANY MEDICAL CENTER HEALTH SERVICES INC,8426136797,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",71,252,
VIRGINIA HOSPITAL CENTER PHYSICIAN GROUP LLC,8426231119,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",56,263,
MICHIGAN PRIMARY CARE PARTNERS P C,8527044551,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",,,1
"PHYSICIAN PRIMECARE, INC",8628073236,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",62,235,
SACRED HEART HOSPITAL OF THE HOSPITAL SISTERS-3RD ORDER OF ST FRANCIS,8729072418,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",75,136,
ALBEMARLE PHYSICIAN SERVICES- SENTARA INC,8729139852,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",,,1
"PENN STATE HEALTH COMMUNITY MEDICAL GROUP, LLC",8729351077,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",70,254,
"OPTUMCARE NEW MEXICO, LLC",9032125810,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",51,203,
SOUTHEAST MISSOURI HOSPITAL PHYSICIANS LLC,9133024334,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",77,205,
"NORTH OAKS PHYSICIAN GROUP, LLC",9133378870,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",69,149,
PRESBYTERIAN HEALTHCARE SERVICES,9234041708,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",,,1
SCL HEALTH MEDICAL GROUP - BILLINGS LLC,9638491574,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",61,270,
VIRGINIA MASON MEDICAL CENTER,9830002617,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",55,218,
WASHINGTON UNIVERSITY,9830008770,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",65,146,
"COOPERATIVE HEALTHCARE SERVICES, INC.",9830093640,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",65,203,
SUTTER VALLEY MEDICAL FOUNDATION,9830094515,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",60,200,
PATIENT FIRST RICHMOND MEDICAL GROUP PLLC,9931011434,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",80,97,
USC CARE MEDICAL GROUP INC,446157747,CAHPS_GRP_12,Stewardship of Patient Resources,24,203,
ASSOCIATION OF UNIVERSITY PHYSICIANS,446162697,CAHPS_GRP_12,Stewardship of Patient Resources,22,262,
BEAVER MEDICAL GROUP PC,547164295,CAHPS_GRP_12,Stewardship of Patient Resources,12,264,
CAPE PHYSICIANS ASSOCIATES PA,749333730,CAHPS_GRP_12,Stewardship of Patient Resources,24,281,
ALLIANCE PHYSICIANS INC,840104360,CAHPS_GRP_12,Stewardship of Patient Resources,28,301,
REX HOSPITAL INC,840109864,CAHPS_GRP_12,Stewardship of Patient Resources,30,194,
SCL HEALTH MEDICAL GROUP DENVER LLC,840513552,CAHPS_GRP_12,Stewardship of Patient Resources,26,300,
GRITMAN MEDICAL CENTER INC,941545784,CAHPS_GRP_12,Stewardship of Patient Resources,25,200,
COMMUNITY MEDICAL GROUP LLC,1052612785,CAHPS_GRP_12,Stewardship of Patient Resources,29,303,
"OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC",1254237779,CAHPS_GRP_12,Stewardship of Patient Resources,17,133,
ST MARYS HOSPITAL AND MEDICAL CENTER INC,1557267069,CAHPS_GRP_12,Stewardship of Patient Resources,,,1
ALBANY MEDICAL COLLEGE,1759293111,CAHPS_GRP_12,Stewardship of Patient Resources,17,263,
GROUP HEALTH PLAN INC,1759293954,CAHPS_GRP_12,Stewardship of Patient Resources,13,348,
OHH PHYSICIANS LLC,1759392079,CAHPS_GRP_12,Stewardship of Patient Resources,19,137,
UNITED REGIONAL PHYSICIAN GROUP,2163417478,CAHPS_GRP_12,Stewardship of Patient Resources,20,266,
MARSHFIELD CLINIC INC,2264345206,CAHPS_GRP_12,Stewardship of Patient Resources,17,269,
SIU PHYSICIANS AND SURGEONS INC,2365352820,CAHPS_GRP_12,Stewardship of Patient Resources,24,227,
CHRISTIANA CARE HEALTH INITIATIVES,2466351481,CAHPS_GRP_12,Stewardship of Patient Resources,,,1
HARBOR MEDICAL ASSOCIATES INC,2466356209,CAHPS_GRP_12,Stewardship of Patient Resources,16,265,
SCL HEALTH MEDICAL GROUP - BUTTE LLC,2466633102,CAHPS_GRP_12,Stewardship of Patient Resources,,,1
BOARD OF REGENTS OF THE UNIVERSITY OF OKLAHOMA - OU PHYSICIANS,2860304334,CAHPS_GRP_12,Stewardship of Patient Resources,27,272,
CAMPBELL COUNTY HOSPITAL DISTRICT,2860392529,CAHPS_GRP_12,Stewardship of Patient Resources,30,288,
SUMMIT MEDICAL GROUP PLLC,2860396330,CAHPS_GRP_12,Stewardship of Patient Resources,27,361,
THE BOARD OF TRUSTEES OF THE UNIVERSITY OF ILLINOIS,3072422716,CAHPS_GRP_12,Stewardship of Patient Resources,,,1
THE VANCOUVER CLINIC INC PS,3173436490,CAHPS_GRP_12,Stewardship of Patient Resources,21,275,
WESTCHESTER MEDICAL CENTER ADVANCED PHYSICIAN SERVICES PC,3173660776,CAHPS_GRP_12,Stewardship of Patient Resources,21,251,
UTMB FACULTY GROUP PRACTICE,3375456734,CAHPS_GRP_12,Stewardship of Patient Resources,24,192,
"UNIVERSITY OF LOUISVILLE PHYSICIANS, INC",3476725599,CAHPS_GRP_12,Stewardship of Patient Resources,29,317,
CITY OF HOPE MEDICAL FOUNDATION,3779751656,CAHPS_GRP_12,Stewardship of Patient Resources,19,201,
BRIGHAM AND WOMENS PHYSICIANS ORGANIZATION INC,3870405988,CAHPS_GRP_12,Stewardship of Patient Resources,18,238,
SUTTER BAY MEDICAL FOUNDATION,4284538778,CAHPS_GRP_12,Stewardship of Patient Resources,20,264,
PATIENT FIRST MARYLAND MEDICAL GROUP PLLC,4385538735,CAHPS_GRP_12,Stewardship of Patient Resources,24,184,
"MEDICAL ASSOCIATES OF EAST AL, PC",4486568698,CAHPS_GRP_12,Stewardship of Patient Resources,,,1
SJHMC PHYSICIAN SERVICES C/O DIGNITY HEALTH,4486646197,CAHPS_GRP_12,Stewardship of Patient Resources,23,234,
THE MARY LANNING MEMORIAL HOSPITAL ASSOCIATION,4587575550,CAHPS_GRP_12,Stewardship of Patient Resources,26,217,
LITTLE COMPANY OF MARY HOSPITAL OF INDIANA INC,4587578042,CAHPS_GRP_12,Stewardship of Patient Resources,33,314,
UNIVERSITY OF VIRGINIA PHYSICIANS GROUP,4880590728,CAHPS_GRP_12,Stewardship of Patient Resources,23,261,
KAUAI MEDICAL CLINIC,5092628479,CAHPS_GRP_12,Stewardship of Patient Resources,18,306,
PATIENT FIRST PENNSYLVANIA MEDICAL GROUP PLLC,5193900280,CAHPS_GRP_12,Stewardship of Patient Resources,,,1
KALISPELL REGIONAL MEDICAL CENTER INC,5294644381,CAHPS_GRP_12,Stewardship of Patient Resources,23,308,
"UNIVERSITY HEALTH SYSTEM,INC",5294646378,CAHPS_GRP_12,Stewardship of Patient Resources,31,295,
SUMMIT MEDICAL GROUP PA,5395642276,CAHPS_GRP_12,Stewardship of Patient Resources,20,234,
TRINITY WEST,5496648875,CAHPS_GRP_12,Stewardship of Patient Resources,37,235,
ST VINCENT HOSPITAL-HOSPITAL SISTERS-THIRD ORDER OF ST FRANCIS,5799694675,CAHPS_GRP_12,Stewardship of Patient Resources,22,304,
SWEDISHAMERICAN HOSPITAL,5799698346,CAHPS_GRP_12,Stewardship of Patient Resources,20,273,
PLATTE VALLEY MEDICAL GROUP LLC,5890054100,CAHPS_GRP_12,Stewardship of Patient Resources,18,149,
HOLZER CLINIC LLC,5890606008,CAHPS_GRP_12,Stewardship of Patient Resources,28,259,
EISENHOWER MEDICAL CENTER,5890689657,CAHPS_GRP_12,Stewardship of Patient Resources,20,263,
DUBOIS REGIONAL MEDICAL CENTER,5890689715,CAHPS_GRP_12,Stewardship of Patient Resources,,,1
RAPID CITY MEDICAL CENTER LLP,5890691075,CAHPS_GRP_12,Stewardship of Patient Resources,24,354,
MARTIN'S POINT HEALTH CARE,5991776635,CAHPS_GRP_12,Stewardship of Patient Resources,17,268,
GUTHRIE MEDICAL GROUP PC,6002728656,CAHPS_GRP_12,Stewardship of Patient Resources,20,265,
SILICON VALLEY MEDICAL DEVELOPMENT LLC,6103115183,CAHPS_GRP_12,Stewardship of Patient Resources,22,282,
LICKING MEMORIAL PROFESSIONAL CORPORATION,6204740731,CAHPS_GRP_12,Stewardship of Patient Resources,24,256,
STRAUB CLINIC AND HOSPITAL,6305759754,CAHPS_GRP_12,Stewardship of Patient Resources,15,327,
"NORTH COAST PROFESSIONAL COMPANY, LLC",6305810201,CAHPS_GRP_12,Stewardship of Patient Resources,32,278,
"THE EVERETT CLINIC, PLLC",6406752153,CAHPS_GRP_12,Stewardship of Patient Resources,17,247,
MONTAGE MEDICAL GROUP,6406901941,CAHPS_GRP_12,Stewardship of Patient Resources,20,270,
HEARTLAND REGIONAL MEDICAL CENTER,6709772767,CAHPS_GRP_12,Stewardship of Patient Resources,21,273,
STANFORD HEALTH CARE,6709797491,CAHPS_GRP_12,Stewardship of Patient Resources,22,187,
STAMFORD HEALTH MEDICAL GROUP INC,6901099746,CAHPS_GRP_12,Stewardship of Patient Resources,23,250,
"KINGMAN HEALTHCARE, INC",6901791367,CAHPS_GRP_12,Stewardship of Patient Resources,16,266,
SOUTHEASTERN REGIONAL PHYSICIAN SERVICES,7012058548,CAHPS_GRP_12,Stewardship of Patient Resources,,,1
OVERLAKE MEDICAL CLINICS LLC,7012808827,CAHPS_GRP_12,Stewardship of Patient Resources,25,279,
GENESIS HEALTH SYSTEM,7214841436,CAHPS_GRP_12,Stewardship of Patient Resources,20,329,
BEND MEMORIAL CLINIC PC,7214936533,CAHPS_GRP_12,Stewardship of Patient Resources,25,316,
RMH MEDICAL GROUP LLC,7618270729,CAHPS_GRP_12,Stewardship of Patient Resources,21,294,
MERCY HOSPITAL AND MEDICAL CENTER,7618861105,CAHPS_GRP_12,Stewardship of Patient Resources,21,194,
LEXINGTON COUNTY HEALTH SERVICES DISTRICT INC,7618871799,CAHPS_GRP_12,Stewardship of Patient Resources,22,254,
KING COUNTY PUBLIC HOSPITAL DISTRICT NO 2,7618880097,CAHPS_GRP_12,Stewardship of Patient Resources,19,273,
SIGNATURE HEALTHCARE MEDICAL GROUP INC,7719876267,CAHPS_GRP_12,Stewardship of Patient Resources,17,252,
PHYSICIANS REFERRAL SERVICE,7911801410,CAHPS_GRP_12,Stewardship of Patient Resources,,,1
TRINITY HEALTH,7911816020,CAHPS_GRP_12,Stewardship of Patient Resources,23,301,
COMMUNITY CARE PHYSICIANS PC,8022904473,CAHPS_GRP_12,Stewardship of Patient Resources,18,258,
"STERN CARDIOVASCULAR FOUNDATION, INC",8123200540,CAHPS_GRP_12,Stewardship of Patient Resources,30,225,
LAKELAND REGIONAL HEALTH SYSTEMS INC,8325952914,CAHPS_GRP_12,Stewardship of Patient Resources,21,266,
PHOEBE PHYSICIAN GROUP INC,8426112350,CAHPS_GRP_12,Stewardship of Patient Resources,16,212,
CHESAPEAKE REGIONAL MEDICAL GROUP,8426113663,CAHPS_GRP_12,Stewardship of Patient Resources,23,174,
MOUNT NITTANY MEDICAL CENTER HEALTH SERVICES INC,8426136797,CAHPS_GRP_12,Stewardship of Patient Resources,26,306,
VIRGINIA HOSPITAL CENTER PHYSICIAN GROUP LLC,8426231119,CAHPS_GRP_12,Stewardship of Patient Resources,16,315,
MICHIGAN PRIMARY CARE PARTNERS P C,8527044551,CAHPS_GRP_12,Stewardship of Patient Resources,,,1
"PHYSICIAN PRIMECARE, INC",8628073236,CAHPS_GRP_12,Stewardship of Patient Resources,22,269,
SACRED HEART HOSPITAL OF THE HOSPITAL SISTERS-3RD ORDER OF ST FRANCIS,8729072418,CAHPS_GRP_12,Stewardship of Patient Resources,,,1
ALBEMARLE PHYSICIAN SERVICES- SENTARA INC,8729139852,CAHPS_GRP_12,Stewardship of Patient Resources,,,1
"PENN STATE HEALTH COMMUNITY MEDICAL GROUP, LLC",8729351077,CAHPS_GRP_12,Stewardship of Patient Resources,32,286,
"OPTUMCARE NEW MEXICO, LLC",9032125810,CAHPS_GRP_12,Stewardship of Patient Resources,15,269,
SOUTHEAST MISSOURI HOSPITAL PHYSICIANS LLC,9133024334,CAHPS_GRP_12,Stewardship of Patient Resources,26,256,
"NORTH OAKS PHYSICIAN GROUP, LLC",9133378870,CAHPS_GRP_12,Stewardship of Patient Resources,22,196,
PRESBYTERIAN HEALTHCARE SERVICES,9234041708,CAHPS_GRP_12,Stewardship of Patient Resources,16,226,
SCL HEALTH MEDICAL GROUP - BILLINGS LLC,9638491574,CAHPS_GRP_12,Stewardship of Patient Resources,24,321,
VIRGINIA MASON MEDICAL CENTER,9830002617,CAHPS_GRP_12,Stewardship of Patient Resources,20,286,
WASHINGTON UNIVERSITY,9830008770,CAHPS_GRP_12,Stewardship of Patient Resources,28,205,
"COOPERATIVE HEALTHCARE SERVICES, INC.",9830093640,CAHPS_GRP_12,Stewardship of Patient Resources,25,251,
SUTTER VALLEY MEDICAL FOUNDATION,9830094515,CAHPS_GRP_12,Stewardship of Patient Resources,24,252,
PATIENT FIRST RICHMOND MEDICAL GROUP PLLC,9931011434,CAHPS_GRP_12,Stewardship of Patient Resources,19,208,
USC CARE MEDICAL GROUP INC,446157747,CAHPS_GRP_2,Communication,87,189,
ASSOCIATION OF UNIVERSITY PHYSICIANS,446162697,CAHPS_GRP_2,Communication,85,237,
BEAVER MEDICAL GROUP PC,547164295,CAHPS_GRP_2,Communication,,,1
CAPE PHYSICIANS ASSOCIATES PA,749333730,CAHPS_GRP_2,Communication,84,263,
ALLIANCE PHYSICIANS INC,840104360,CAHPS_GRP_2,Communication,87,287,
REX HOSPITAL INC,840109864,CAHPS_GRP_2,Communication,87,180,
SCL HEALTH MEDICAL GROUP DENVER LLC,840513552,CAHPS_GRP_2,Communication,83,292,
GRITMAN MEDICAL CENTER INC,941545784,CAHPS_GRP_2,Communication,86,191,
COMMUNITY MEDICAL GROUP LLC,1052612785,CAHPS_GRP_2,Communication,84,301,
"OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC",1254237779,CAHPS_GRP_2,Communication,,,1
ST MARYS HOSPITAL AND MEDICAL CENTER INC,1557267069,CAHPS_GRP_2,Communication,,,1
ALBANY MEDICAL COLLEGE,1759293111,CAHPS_GRP_2,Communication,86,236,
GROUP HEALTH PLAN INC,1759293954,CAHPS_GRP_2,Communication,89,302,
OHH PHYSICIANS LLC,1759392079,CAHPS_GRP_2,Communication,,,1
UNITED REGIONAL PHYSICIAN GROUP,2163417478,CAHPS_GRP_2,Communication,,,1
MARSHFIELD CLINIC INC,2264345206,CAHPS_GRP_2,Communication,83,244,
SIU PHYSICIANS AND SURGEONS INC,2365352820,CAHPS_GRP_2,Communication,,,1
CHRISTIANA CARE HEALTH INITIATIVES,2466351481,CAHPS_GRP_2,Communication,,,1
HARBOR MEDICAL ASSOCIATES INC,2466356209,CAHPS_GRP_2,Communication,87,250,
SCL HEALTH MEDICAL GROUP - BUTTE LLC,2466633102,CAHPS_GRP_2,Communication,,,1
BOARD OF REGENTS OF THE UNIVERSITY OF OKLAHOMA - OU PHYSICIANS,2860304334,CAHPS_GRP_2,Communication,91,249,
CAMPBELL COUNTY HOSPITAL DISTRICT,2860392529,CAHPS_GRP_2,Communication,82,261,
SUMMIT MEDICAL GROUP PLLC,2860396330,CAHPS_GRP_2,Communication,88,368,
THE BOARD OF TRUSTEES OF THE UNIVERSITY OF ILLINOIS,3072422716,CAHPS_GRP_2,Communication,,,1
THE VANCOUVER CLINIC INC PS,3173436490,CAHPS_GRP_2,Communication,85,268,
WESTCHESTER MEDICAL CENTER ADVANCED PHYSICIAN SERVICES PC,3173660776,CAHPS_GRP_2,Communication,88,254,
UTMB FACULTY GROUP PRACTICE,3375456734,CAHPS_GRP_2,Communication,,,1
"UNIVERSITY OF LOUISVILLE PHYSICIANS, INC",3476725599,CAHPS_GRP_2,Communication,90,294,
CITY OF HOPE MEDICAL FOUNDATION,3779751656,CAHPS_GRP_2,Communication,87,207,
BRIGHAM AND WOMENS PHYSICIANS ORGANIZATION INC,3870405988,CAHPS_GRP_2,Communication,88,214,
SUTTER BAY MEDICAL FOUNDATION,4284538778,CAHPS_GRP_2,Communication,88,238,
PATIENT FIRST MARYLAND MEDICAL GROUP PLLC,4385538735,CAHPS_GRP_2,Communication,,,1
"MEDICAL ASSOCIATES OF EAST AL, PC",4486568698,CAHPS_GRP_2,Communication,,,1
SJHMC PHYSICIAN SERVICES C/O DIGNITY HEALTH,4486646197,CAHPS_GRP_2,Communication,88,221,
THE MARY LANNING MEMORIAL HOSPITAL ASSOCIATION,4587575550,CAHPS_GRP_2,Communication,85,211,
LITTLE COMPANY OF MARY HOSPITAL OF INDIANA INC,4587578042,CAHPS_GRP_2,Communication,90,318,
UNIVERSITY OF VIRGINIA PHYSICIANS GROUP,4880590728,CAHPS_GRP_2,Communication,86,252,
KAUAI MEDICAL CLINIC,5092628479,CAHPS_GRP_2,Communication,83,284,
PATIENT FIRST PENNSYLVANIA MEDICAL GROUP PLLC,5193900280,CAHPS_GRP_2,Communication,,,1
KALISPELL REGIONAL MEDICAL CENTER INC,5294644381,CAHPS_GRP_2,Communication,81,284,
"UNIVERSITY HEALTH SYSTEM,INC",5294646378,CAHPS_GRP_2,Communication,89,292,
